image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
lena_color,512,512,clean,0,4,16,4,11.997803136632697,14.243146671240316,,786572,498268,,34983,272.7998962402344,23.772361600678614,0.6954977302798632,41003088.0,0.4859482944011688
lena_color,512,512,clean,0,8,16,4,7.998047351720771,7.894730170802041,,786572,498268,,63114,133.2586669921875,26.883848962314012,0.7681840226137454,19905812.0,0.4054320454597473
lena_color,512,512,clean,0,16,16,4,5.997803538743136,4.914418723924686,,786572,498268,,101389,70.03573608398438,29.677606633703544,0.8060167487067683,10519172.0,0.36281633377075195
lena_color,512,512,clean,0,32,16,4,4.797189146984189,3.052271126221324,,786572,498268,,163245,39.510040283203125,32.16372888393148,0.8640672612006947,5877822.5,0.302886962890625
lena_color,512,512,clean,0,64,16,4,3.9960975609756098,2.016503773852162,,786572,498268,,247095,23.89020347595215,34.34860512160021,0.904963339390097,3538412.25,0.276635080575943
lena_color,512,512,noise,5,4,16,4,11.997803136632697,12.3578373015873,13.541939484126985,786572,498268,546011,40320,278.8099670410156,23.677720657836097,0.6753309225476155,43802936.0,0.4692957103252411
lena_color,512,512,noise,5,8,16,4,7.998047351720771,6.614030663038428,7.247773279352227,786572,498268,546011,75335,140.94781494140625,26.64022013304812,0.7379009364287238,22512668.0,0.3778889775276184
lena_color,512,512,noise,5,16,16,4,5.997803538743136,3.9430543025813907,4.320869537692101,786572,498268,546011,126366,80.35107421875,29.080886736184915,0.7599726382574635,12636736.0,0.31438112258911133
lena_color,512,512,noise,5,32,16,4,4.797189146984189,2.3398576178221915,2.564057892067547,786572,498268,546011,212948,52.916683197021484,30.894877459566473,0.7963660606316944,7793227.0,0.26803258061408997
lena_color,512,512,noise,5,64,16,4,3.9960975609756098,1.4806357960674308,1.6225072283320903,786572,498268,546011,336523,41.31770324707031,31.969441887474947,0.8168908144667348,5068608.0,0.2370401918888092
lena_color,512,512,noise,10,4,16,4,11.997803136632697,10.074364625245153,12.247477708809317,786572,498268,605748,49459,296.39501953125,23.412094591593654,0.6327621753450913,52172320.0,0.4297826588153839
lena_color,512,512,noise,10,8,16,4,7.998047351720771,5.020585419920399,6.103561892286765,786572,498268,605748,99245,169.0019073486328,25.8518875479677,0.6582646722976001,30034356.0,0.31767427921295166
lena_color,512,512,noise,10,16,16,4,5.997803538743136,2.852820941497097,3.468194986774153,786572,498268,605748,174658,119.38019561767578,27.361480746720506,0.6457236309316582,18856920.0,0.2629725933074951
lena_color,512,512,noise,10,32,16,4,4.797189146984189,1.6436568518139774,1.9982054851457713,786572,498268,605748,303146,111.53564453125,27.65666679587896,0.6309477797232069,12481250.0,0.23429101705551147
lena_color,512,512,noise,10,64,16,4,3.9960975609756098,1.1043810148634452,1.3426039621077455,786572,498268,605748,451174,106.35922241210938,27.863052073058288,0.6303496385939683,8209252.0,0.22790344059467316
lena_color,512,512,noise,15,4,16,4,11.997803136632697,8.24032943589065,10.733755602229316,786572,498268,649038,60467,329.2851867675781,22.955081669000116,0.5664993831101833,65704608.0,0.3826206922531128
lena_color,512,512,noise,15,8,16,4,7.998047351720771,3.9728270836157202,5.1749575423181495,786572,498268,649038,125419,230.4836883544922,24.50440165668504,0.5362876238700669,41217512.0,0.291581928730011
lena_color,512,512,noise,15,16,16,4,5.997803538743136,2.240967865254447,2.919058220333266,786572,498268,649038,222345,206.9249267578125,24.972675507178586,0.511068963294988,27684908.0,0.23398442566394806
lena_color,512,512,noise,15,32,16,4,4.797189146984189,1.3318471712133604,1.7348483633506007,786572,498268,649038,374118,215.72021484375,24.791895167216136,0.4875075591619035,18182956.0,0.23234987258911133
lena_color,512,512,noise,15,64,16,4,3.9960975609756098,0.9439521988129271,1.2295809628817114,786572,498268,649038,527853,219.2908172607422,24.720599147648777,0.48165116430428156,11919700.0,0.2260294258594513
lena_color,512,512,noise,20,4,16,4,11.997803136632697,6.8893866489685305,9.476190476190476,786572,498268,685356,72324,380.1146240234375,22.331657824763084,0.5021702553271481,83785896.0,0.33900120854377747
lena_color,512,512,noise,20,8,16,4,7.998047351720771,3.3794628323385782,4.648372219207813,786572,498268,685356,147440,322.0578308105469,23.05146497411804,0.44512222210673696,55458576.0,0.26294368505477905
lena_color,512,512,noise,20,16,16,4,5.997803538743136,1.8416309996377855,2.533120439979598,786572,498268,685356,270558,361.8319396972656,22.545734605275427,0.39435113519536436,37537880.0,0.23201049864292145
lena_color,512,512,noise,20,32,16,4,4.797189146984189,1.1469307331804914,1.57757644394111,786572,498268,685356,434436,365.7433166503906,22.499039620059694,0.3839626391563143,24471092.0,0.2283400148153305
lena_color,512,512,noise,20,64,16,4,3.9960975609756098,0.8497371154151154,1.1687935618431082,786572,498268,685356,586379,373.7447814941406,22.405052234394265,0.37891695370501083,15885837.0,0.2254607230424881
lena_color,512,512,noise,30,4,16,4,11.997803136632697,5.297736382677852,7.800495465322744,786572,498268,733660,94053,548.9776000976562,20.735257365497837,0.39431959767338837,131065704.0,0.2725493311882019
lena_color,512,512,noise,30,8,16,4,7.998047351720771,2.695015820645266,3.968196446439679,786572,498268,733660,184885,660.4324340820312,19.932519673901716,0.29602495786393895,88346056.0,0.24328403174877167
lena_color,512,512,noise,30,16,16,4,5.997803538743136,1.5037467821132273,2.214147535392982,786572,498268,733660,331351,737.5986328125,19.45260257814931,0.26641447875460317,58185612.0,0.2321508228778839
lena_color,512,512,noise,30,32,16,4,4.797189146984189,0.9666528924818171,1.4233195009477027,786572,498268,733660,515457,779.758056640625,19.211204901844933,0.2571498920425901,37866332.0,0.22540034353733063
lena_color,512,512,noise,30,64,16,4,3.9960975609756098,0.7552043941986635,1.1119784048901222,786572,498268,733660,659779,802.503662109375,19.086333379464335,0.25407894441161455,24216714.0,0.22889748215675354
